checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold3.pth,modeled_time_test,1.0,8,Heart,0.1427910327911377
fold3.pth,modeled_time_test,2.0,7,Heart,0.14245347678661346
fold3.pth,modeled_time_test,2.0,8,Heart,0.1422479897737503
fold3.pth,modeled_time_test,3.0,1,Heart,0.14228473603725433
fold3.pth,modeled_time_test,3.0,8,Heart,0.14273568987846375
fold3.pth,modeled_time_test,6.0,1,Heart,0.14285016059875488
fold3.pth,modeled_time_test,6.0,10,Heart,0.142690971493721
fold3.pth,modeled_time_test,12.0,3,Heart,0.1422669142484665
fold3.pth,modeled_time_test,12.0,4,Heart,0.14180472493171692
fold3.pth,modeled_time_test,18.0,2,Heart,0.1416003257036209
fold3.pth,modeled_time_test,18.0,6,Heart,0.14198307693004608
fold3.pth,modeled_time_test,24.0,3,Heart,0.125
fold3.pth,modeled_time_test,24.0,6,Heart,0.127680242061615
fold3.pth,unseen_time_test,0.33333,1,Heart,0.1426296979188919
fold3.pth,unseen_time_test,0.33333,2,Heart,0.1426226645708084
fold3.pth,unseen_time_test,4.0,1,Heart,0.1424551010131836
fold3.pth,unseen_time_test,4.0,2,Heart,0.14255790412425995
fold3.pth,unseen_time_test,11.0,1,Heart,0.1426253318786621
fold3.pth,unseen_time_test,11.0,2,Heart,0.14254917204380035
fold3.pth,unseen_time_test,20.0,1,Heart,0.14274008572101593
fold3.pth,unseen_time_test,20.0,2,Heart,0.125
fold4.pth,modeled_time_test,0.5,2,Heart,0.14173616468906403
fold4.pth,modeled_time_test,0.5,3,Heart,0.125
fold4.pth,modeled_time_test,1.0,4,Heart,0.12508928775787354
fold4.pth,modeled_time_test,1.0,8,Heart,0.14153754711151123
fold4.pth,modeled_time_test,2.0,7,Heart,0.1250040978193283
fold4.pth,modeled_time_test,2.0,8,Heart,0.14284859597682953
fold4.pth,modeled_time_test,3.0,1,Heart,0.1250000149011612
fold4.pth,modeled_time_test,3.0,8,Heart,0.12567220628261566
fold4.pth,modeled_time_test,6.0,1,Heart,0.13491475582122803
